tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1748,12,startdatetime,제한 시작 시간,datetime,제한 시작 시간,2021-01-14 06:25:38.470,N
1748,13,expiredatetime,제한 종료 날짜,datetime,제한 종료 날짜,2021-01-14 06:25:38.470,N
1748,14,timediff,제한시간 (분 단위),int,제한시간 (분 단위),2021-01-14 06:25:38.470,N
1748,15,loadingtime,데이터 적재 일시,datetime,DB에 집계된 시간,2021-01-14 06:25:38.470,N
1933,4,npsn,NPSN,long,TOY에서 발행된 계정ID,2021-12-31 04:21:22.807,N
1933,5,serviceareaid,게임계정 구분자,string,accountno로 이용자를 찾기 위한 보조 식별자,2021-12-31 04:21:22.807,N
1875,9,rank,순위,long,인기 순위,2021-12-20 02:12:24.093,N
1875,10,post_id,글번호,string,인기 게시글의 번호,2021-12-20 02:12:24.093,N
1875,11,post_title,글제목,string,인기글의 제목,2021-12-20 02:12:24.093,N
1875,12,post_url,글주소,string,해당 인기글로 바로 연결되는 url 주소,2021-12-20 02:12:24.093,N
1875,13,worldname,서버명,string,해당 인기글 작성 유저 캐릭터의 메이플스토리의 서버명,2021-12-20 02:12:24.093,N
1772,0,sdate,집계일,date,집계 일자 (yyyy-MM-dd),2021-02-05 08:21:29.723,N
1772,1,timezone,집계 시간대,string,"집계 시간대 (KST, UTC 등)",2021-02-05 08:21:29.723,N
1772,2,accountno,게임 계정,string,게임에서 발행된 계정 ID,2021-02-05 08:21:29.723,N
1772,3,nexonsn,NexonSN,long,넥슨 계정 식별자,2021-02-05 08:21:29.723,N
1772,4,npsn,NPSN,long,TOY에서 발급한 모바일 플랫폼 계정 식별자,2021-02-05 08:21:29.723,N
1772,5,serviceareaid,게임 계정 구분자,string,"NXLog의 accounttype, 일부게임 regionid 처럼 게임 계정의 유일성을 보장하기 위해 필요한 추가 구분자",2021-02-05 08:21:29.723,N
1772,6,characterid,게임 캐릭터 ID,string,게임 캐릭터 ID,2021-02-05 08:21:29.723,N
1772,7,serviceid,서비스아이디,long,랩스에서 발급하고 관리하는 게임 식별자,2021-02-05 08:21:29.723,N
1772,8,worldid,게임 서버,string,게임 서버 구분자,2021-02-05 08:21:29.723,N
1772,9,dateid,주차별아이디,int,주차별아이디,2021-02-05 08:21:29.723,N
